model,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,notes,duration_seconds,feature_set,diagnostic_split
logreg,val,0.25,0.2400799793601651,0.2517746040723982,0.23959192996194895,0.2412226204699323,subject_aware; duration=10s; feature_set=mfcc,10.0,mfcc,subject_aware
rf,val,0.2833333333333333,0.2765842709921657,0.2816156270200388,0.2704229995598282,0.2745143360053846,subject_aware; duration=10s; feature_set=mfcc,10.0,mfcc,subject_aware
svm,val,0.25833333333333336,0.24562599681020733,0.2585323071536307,0.24222539250977282,0.24560916565670385,subject_aware; duration=10s; feature_set=mfcc,10.0,mfcc,subject_aware
logreg,val,0.225,0.22680229986731537,0.23004538353803058,0.2231087192377515,0.22016185740782515,subject_aware; duration=10s; feature_set=mel,10.0,mel,subject_aware
rf,val,0.225,0.24134983072483074,0.2281761743158802,0.2206689442582564,0.22157714390756075,subject_aware; duration=10s; feature_set=mel,10.0,mel,subject_aware
svm,val,0.16666666666666666,0.2234126984126984,0.16821502639517347,0.1642707698147799,0.16552823951308682,subject_aware; duration=10s; feature_set=mel,10.0,mel,subject_aware
logreg,val,0.2833333333333333,0.22837206196581197,0.2753966009480715,0.24648795904556273,0.2517198648765469,subject_aware; duration=10s; feature_set=pitch,10.0,pitch,subject_aware
rf,val,0.35833333333333334,0.3519279331779332,0.357556628420599,0.34187067562067563,0.34546621896621893,subject_aware; duration=10s; feature_set=pitch,10.0,pitch,subject_aware
svm,val,0.31666666666666665,0.3115988716743027,0.314361802413273,0.2992322291235335,0.3033053446821563,subject_aware; duration=10s; feature_set=pitch,10.0,pitch,subject_aware
logreg,val,0.3333333333333333,0.3157028187455819,0.32966292286145227,0.31706950456950456,0.3224286515953183,subject_aware; duration=10s; feature_set=combined,10.0,combined,subject_aware
rf,val,0.35833333333333334,0.3618454838075581,0.35463767237664295,0.35370879120879123,0.3600160256410257,subject_aware; duration=10s; feature_set=combined,10.0,combined,subject_aware
svm,val,0.31666666666666665,0.3037396903205727,0.31151725113122175,0.2962054124029154,0.303057158008531,subject_aware; duration=10s; feature_set=combined,10.0,combined,subject_aware
rf,test,0.275,0.25805132988636825,0.2797487745098039,0.2628759284362733,0.2594300201455374,subject_aware; duration=10s; feature_set=combined,10.0,combined,subject_aware
