model,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
original_logreg,test,0.2833333333333333,0.3253201659451659,0.2785670518207283,0.2878206566561705,0.2921655645529609
original_logreg,val,0.325,0.3111573597970656,0.3324475463262228,0.3139467592592592,0.3094013047138047
original_rf,test,0.2583333333333333,0.2627781867255552,0.2618391106442577,0.255684459218942,0.2540587056621539
original_rf,val,0.2833333333333333,0.2927657685881369,0.2855200253178194,0.2706298550587344,0.2683722922192749
original_cnn,test,0.2083333333333333,0.1645358868184955,0.2102284663865546,0.1439548626468131,0.1448800923878323
original_cnn,val,0.2833333333333333,0.3216213553979511,0.269953606442577,0.1969034844521288,0.2078818697189927
diagnostic_rf,test,0.275,0.2580513298863682,0.2797487745098039,0.2628759284362733,0.2594300201455374
diagnostic_rf,val,0.3583333333333333,0.3618454838075581,0.3546376723766429,0.3537087912087912,0.3600160256410257
svm,test,0.23333333333333334,0.25235769132827957,0.23506652661064426,0.23374427655677654,0.23333554639804638
svm,val,0.35833333333333334,0.36321924603174605,0.35550359566903683,0.3507366446882576,0.3565495721947335
