model,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,chosen_params,notes
svm,val_candidate,0.35,0.3559998274672188,0.3482119290023702,0.3451548899129544,0.34910991636798083,kernel=linear; C=0.01; gamma=scale; class_weight=None,validation candidate; duration=10s; feature_set=combined; subject-aware split
svm,val_candidate,0.35,0.36446972145501555,0.3476166909071321,0.3437912547287547,0.3467738477113477,kernel=linear; C=0.01; gamma=scale; class_weight=balanced,validation candidate; duration=10s; feature_set=combined; subject-aware split
svm,val_candidate,0.30833333333333335,0.29532828282828283,0.2981553679163973,0.28497121585614266,0.294851360632974,kernel=linear; C=0.1; gamma=scale; class_weight=None,validation candidate; duration=10s; feature_set=combined; subject-aware split
svm,val_candidate,0.30833333333333335,0.29180834262356004,0.29861492673992673,0.2844204855821819,0.29383684877862554,kernel=linear; C=0.1; gamma=scale; class_weight=balanced,validation candidate; duration=10s; feature_set=combined; subject-aware split
svm,val_candidate,0.31666666666666665,0.3033234126984127,0.3104624542124542,0.30044538851839364,0.30702139178370075,kernel=linear; C=1.0; gamma=scale; class_weight=None,validation candidate; duration=10s; feature_set=combined; subject-aware split
svm,val_candidate,0.31666666666666665,0.3033234126984127,0.3104624542124542,0.30044538851839364,0.30702139178370075,kernel=linear; C=1.0; gamma=scale; class_weight=balanced,validation candidate; duration=10s; feature_set=combined; subject-aware split
svm,val_candidate,0.31666666666666665,0.3033234126984127,0.3104624542124542,0.30044538851839364,0.30702139178370075,kernel=linear; C=10.0; gamma=scale; class_weight=None,validation candidate; duration=10s; feature_set=combined; subject-aware split
svm,val_candidate,0.31666666666666665,0.3033234126984127,0.3104624542124542,0.30044538851839364,0.30702139178370075,kernel=linear; C=10.0; gamma=scale; class_weight=balanced,validation candidate; duration=10s; feature_set=combined; subject-aware split
svm,val_candidate,0.10833333333333334,0.013541666666666667,0.125,0.02443609022556391,0.02117794486215539,kernel=rbf; C=0.01; gamma=scale; class_weight=None,validation candidate; duration=10s; feature_set=combined; subject-aware split
svm,val_candidate,0.11666666666666667,0.014583333333333334,0.125,0.026119402985074626,0.02437810945273632,kernel=rbf; C=0.01; gamma=scale; class_weight=balanced,validation candidate; duration=10s; feature_set=combined; subject-aware split
svm,val_candidate,0.10833333333333334,0.013541666666666667,0.125,0.02443609022556391,0.02117794486215539,kernel=rbf; C=0.01; gamma=auto; class_weight=None,validation candidate; duration=10s; feature_set=combined; subject-aware split
